Order No, Order Time, Order Type, Order Taken By, Customer Name, Customer Number, Item name, Quantity, Item Type, Price, Item Tax, Item discount
5078,01-Dec-2024 07:45 AM,Walk-In,Cashier,,,Sebastian Cheese Cake,1.0,Regular Item,31.0,0.0,""
5079,01-Dec-2024 07:56 AM,Walk-In,Cashier,,,6oz,1.0,Regular Item,24.0,0.0,""
5079,01-Dec-2024 07:56 AM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5080,01-Dec-2024 10:06 AM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5080,01-Dec-2024 10:06 AM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5081,01-Dec-2024 10:32 AM,Walk-In,Cashier,,,Americano,1.0,Regular Item,18.0,0.0,""
5081,01-Dec-2024 10:32 AM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5082,01-Dec-2024 10:39 AM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5082,01-Dec-2024 10:39 AM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5083,01-Dec-2024 11:08 AM,Walk-In,Cashier,,,Filter,1.0,Regular Item,36.0,0.0,""
5083,01-Dec-2024 11:08 AM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5083,01-Dec-2024 11:08 AM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5083,01-Dec-2024 11:08 AM,Walk-In,Cashier,,,8oz,1.0,Regular Item,25.0,0.0,""
5083,01-Dec-2024 11:08 AM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5084,01-Dec-2024 11:44 AM,Walk-In,Cashier,,,Matcha,2.0,Regular Item,30.0,0.0,""
5085,01-Dec-2024 12:02 PM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5085,01-Dec-2024 12:02 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5085,01-Dec-2024 12:02 PM,Walk-In,Cashier,,,Cheese,1.0,Regular Item,16.0,0.0,""
5086,01-Dec-2024 12:08 PM,Walk-In,Cashier,,,Chocolate Lava,3.0,Regular Item,35.0,0.0,""
5086,01-Dec-2024 12:08 PM,Walk-In,Cashier,,,6oz,3.0,Regular Item,24.0,0.0,""
5086,01-Dec-2024 12:08 PM,Walk-In,Cashier,,,Etheopian,3.0,Modifier,0.0,0.0,""
5087,01-Dec-2024 12:09 PM,Walk-In,Cashier,,,Plain,1.0,Regular Item,12.0,0.0,""
5088,01-Dec-2024 12:17 PM,Walk-In,Cashier,,,Americano,2.0,Regular Item,18.0,0.0,""
5088,01-Dec-2024 12:17 PM,Walk-In,Cashier,,,Etheopian,2.0,Modifier,0.0,0.0,""
5088,01-Dec-2024 12:17 PM,Walk-In,Cashier,,,Choco Strawberry,1.0,Regular Item,35.0,0.0,""
5089,01-Dec-2024 12:29 PM,Walk-In,Cashier,,,Espresso,1.0,Regular Item,20.0,0.0,""
5089,01-Dec-2024 12:29 PM,Walk-In,Cashier,,,Still Water,1.0,Regular Item,9.0,0.0,""
5090,01-Dec-2024 12:56 PM,Walk-In,Cashier,,,8oz,1.0,Regular Item,25.0,0.0,""
5090,01-Dec-2024 12:56 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5091,01-Dec-2024 01:31 PM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5091,01-Dec-2024 01:31 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5092,01-Dec-2024 01:37 PM,Walk-In,Cashier,,,Choco Strawberry,1.0,Regular Item,35.0,0.0,""
5093,01-Dec-2024 02:02 PM,Walk-In,Cashier,,,Espresso,1.0,Regular Item,20.0,0.0,""
5093,01-Dec-2024 02:02 PM,Walk-In,Cashier,,,6oz,1.0,Regular Item,24.0,0.0,""
5093,01-Dec-2024 02:02 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5094,01-Dec-2024 02:08 PM,Walk-In,Cashier,,,8oz,1.0,Regular Item,25.0,0.0,""
5094,01-Dec-2024 02:08 PM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5095,01-Dec-2024 02:10 PM,Walk-In,Cashier,,,Still Water,3.0,Regular Item,9.0,0.0,""
5096,01-Dec-2024 03:34 PM,Walk-In,Cashier,,,6oz,1.0,Regular Item,24.0,0.0,""
5096,01-Dec-2024 03:34 PM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5097,01-Dec-2024 04:22 PM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5097,01-Dec-2024 04:22 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5098,01-Dec-2024 04:46 PM,Walk-In,Cashier,,,Etheopian,2.0,Modifier,0.0,0.0,""
5098,01-Dec-2024 04:46 PM,Walk-In,Cashier,,,Spanish Latte,2.0,Regular Item,28.0,0.0,""
5098,01-Dec-2024 04:46 PM,Walk-In,Cashier,,,Honey Cake,1.0,Regular Item,32.0,0.0,""
5099,01-Dec-2024 04:48 PM,Walk-In,Cashier,,,Espresso,1.0,Regular Item,20.0,0.0,""
5099,01-Dec-2024 04:48 PM,Walk-In,Cashier,,,Sparkling Water,1.0,Regular Item,12.0,0.0,""
5100,01-Dec-2024 04:54 PM,Walk-In,Cashier,,,Cheese Danish,2.0,Regular Item,21.0,0.0,""
5101,01-Dec-2024 04:58 PM,Walk-In,Cashier,,,6oz,1.0,Regular Item,24.0,0.0,""
5101,01-Dec-2024 04:58 PM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5102,01-Dec-2024 05:01 PM,Walk-In,Cashier,,,8oz,2.0,Regular Item,25.0,0.0,""
5102,01-Dec-2024 05:01 PM,Walk-In,Cashier,,,Brazillian,2.0,Modifier,0.0,0.0,""
5102,01-Dec-2024 05:01 PM,Walk-In,Cashier,,,Chocolate,1.0,Regular Item,18.0,0.0,""
5103,01-Dec-2024 05:26 PM,Walk-In,Cashier,,,Sebastian Cheese Cake,1.0,Regular Item,31.0,0.0,""
5103,01-Dec-2024 05:26 PM,Walk-In,Cashier,,,Americano,1.0,Regular Item,18.0,0.0,""
5103,01-Dec-2024 05:26 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5103,01-Dec-2024 05:26 PM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5103,01-Dec-2024 05:26 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5104,01-Dec-2024 05:26 PM,Walk-In,Cashier,,,Still Water,1.0,Regular Item,9.0,0.0,""
5105,01-Dec-2024 06:04 PM,Walk-In,Cashier,,,Choco Strawberry,1.0,Regular Item,35.0,0.0,""
5106,01-Dec-2024 06:44 PM,Walk-In,Cashier,,,Filter,1.0,Regular Item,36.0,0.0,""
5107,01-Dec-2024 06:45 PM,Walk-In,Cashier,,,Americano,2.0,Regular Item,18.0,0.0,""
5107,01-Dec-2024 06:45 PM,Walk-In,Cashier,,,Etheopian,2.0,Modifier,0.0,0.0,""
5108,01-Dec-2024 06:46 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5108,01-Dec-2024 06:46 PM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5108,01-Dec-2024 06:46 PM,Walk-In,Cashier,,,8oz,1.0,Regular Item,25.0,0.0,""
5108,01-Dec-2024 06:46 PM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5109,01-Dec-2024 06:56 PM,Walk-In,Cashier,,,Sebastian Cheese Cake,1.0,Regular Item,31.0,0.0,""
5109,01-Dec-2024 06:56 PM,Walk-In,Cashier,,,Choco Strawberry,1.0,Regular Item,35.0,0.0,""
5109,01-Dec-2024 06:56 PM,Walk-In,Cashier,,,Americano,1.0,Regular Item,18.0,0.0,""
5109,01-Dec-2024 06:56 PM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5110,01-Dec-2024 07:22 PM,Walk-In,Cashier,,,8oz,1.0,Regular Item,25.0,0.0,""
5110,01-Dec-2024 07:22 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5110,01-Dec-2024 07:22 PM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5110,01-Dec-2024 07:22 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5110,01-Dec-2024 07:22 PM,Walk-In,Cashier,,,Affogato,1.0,Regular Item,25.0,0.0,""
5111,01-Dec-2024 07:26 PM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5111,01-Dec-2024 07:26 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5112,01-Dec-2024 07:28 PM,Walk-In,Cashier,,,Still Water,3.0,Regular Item,9.0,0.0,""
5112,01-Dec-2024 07:28 PM,Walk-In,Cashier,,,Sebastian Cheese Cake,1.0,Regular Item,31.0,0.0,""
5112,01-Dec-2024 07:28 PM,Walk-In,Cashier,,,Filter,1.0,Regular Item,36.0,0.0,""
5113,01-Dec-2024 07:35 PM,Walk-In,Cashier,,,Chocolate,1.0,Regular Item,18.0,0.0,""
5113,01-Dec-2024 07:35 PM,Walk-In,Cashier,,,Cheese,1.0,Regular Item,16.0,0.0,""
5113,01-Dec-2024 07:35 PM,Walk-In,Cashier,,,Still Water,3.0,Regular Item,9.0,0.0,""
5113,01-Dec-2024 07:35 PM,Walk-In,Cashier,,,Sebastian Cheese Cake,1.0,Regular Item,31.0,0.0,""
5114,01-Dec-2024 07:36 PM,Walk-In,Cashier,,,Filter,1.0,Regular Item,36.0,0.0,""
5114,01-Dec-2024 07:36 PM,Walk-In,Cashier,,,Choco Strawberry,1.0,Regular Item,35.0,0.0,""
5114,01-Dec-2024 07:36 PM,Walk-In,Cashier,,,Still Water,1.0,Regular Item,9.0,0.0,""
5115,01-Dec-2024 07:47 PM,Walk-In,Cashier,,,Espresso,1.0,Regular Item,20.0,0.0,""
5116,01-Dec-2024 08:23 PM,Walk-In,Cashier,,,Spanish Latte,2.0,Regular Item,28.0,0.0,""
5116,01-Dec-2024 08:23 PM,Walk-In,Cashier,,,Brazillian,2.0,Modifier,0.0,0.0,""
5117,01-Dec-2024 08:35 PM,Walk-In,Cashier,,,Matcha,1.0,Regular Item,30.0,0.0,""
5118,01-Dec-2024 09:10 PM,Walk-In,Cashier,,,Americano,1.0,Regular Item,18.0,0.0,""
5118,01-Dec-2024 09:10 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5118,01-Dec-2024 09:10 PM,Walk-In,Cashier,,,Chocolate Lava,1.0,Regular Item,35.0,0.0,""
5119,01-Dec-2024 10:08 PM,Walk-In,Cashier,,,Americano,1.0,Regular Item,18.0,0.0,""
5119,01-Dec-2024 10:08 PM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5119,01-Dec-2024 10:08 PM,Walk-In,Cashier,,,Filter,1.0,Regular Item,36.0,0.0,""
5120,01-Dec-2024 10:59 PM,Walk-In,Cashier,,,Spanish Latte,2.0,Regular Item,28.0,0.0,""
5120,01-Dec-2024 10:59 PM,Walk-In,Cashier,,,Etheopian,2.0,Modifier,0.0,0.0,""
5121,01-Dec-2024 11:05 PM,Walk-In,Cashier,,,Signature Hot,1.0,Regular Item,32.0,0.0,""
5121,01-Dec-2024 11:05 PM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5122,01-Dec-2024 11:13 PM,Walk-In,Cashier,,,Plain,1.0,Regular Item,12.0,0.0,""
5123,01-Dec-2024 11:53 PM,Walk-In,Cashier,,,8oz,1.0,Regular Item,25.0,0.0,""
5123,01-Dec-2024 11:53 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5124,02-Dec-2024 09:15 AM,Walk-In,Cashier,,,Cheese Danish,1.0,Regular Item,21.0,0.0,""
5125,02-Dec-2024 09:21 AM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5125,02-Dec-2024 09:21 AM,Walk-In,Cashier,,,Americano,1.0,Regular Item,18.0,0.0,""
5126,02-Dec-2024 09:45 AM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5126,02-Dec-2024 09:45 AM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5127,02-Dec-2024 10:01 AM,Walk-In,Cashier,,,Espresso,1.0,Regular Item,20.0,0.0,""
5128,02-Dec-2024 10:18 AM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5128,02-Dec-2024 10:18 AM,Walk-In,Cashier,,,4oz,1.0,Regular Item,23.0,0.0,""
5129,02-Dec-2024 10:29 AM,Walk-In,Cashier,,,Chocolate,1.0,Regular Item,18.0,0.0,""
5130,02-Dec-2024 11:12 AM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5130,02-Dec-2024 11:12 AM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5130,02-Dec-2024 11:12 AM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5130,02-Dec-2024 11:12 AM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5131,02-Dec-2024 11:19 AM,Walk-In,Cashier,,,Etheopian,2.0,Modifier,0.0,0.0,""
5131,02-Dec-2024 11:19 AM,Walk-In,Cashier,,,Americano,2.0,Regular Item,18.0,0.0,""
5132,02-Dec-2024 11:35 AM,Walk-In,Cashier,,,Filter,1.0,Regular Item,36.0,0.0,""
5132,02-Dec-2024 11:35 AM,Walk-In,Cashier,,,Choco Strawberry,1.0,Regular Item,35.0,0.0,""
5133,02-Dec-2024 11:35 AM,Walk-In,Cashier,,,Americano,1.0,Regular Item,18.0,0.0,""
